name       ra       dec 
GASS40686  198.87428  9.85018
GASS26911  199.08932  13.50184
GASS51025  199.44  26.48633
GASS51094  199.75555  27.89171
GASS40781  199.89294  10.45487
GASS113000  199.90353  3.0326
GASS40790  199.936  10.36277
GASS113110  199.97649  31.23496
GASS113056  200.02882  14.54327
GASS44354  200.21127  31.61684
GASS113115  200.21571  31.36653
GASS113062  200.39549  26.30467
GASS113124  200.71283  31.82593
GASS51150  200.74947  27.11643
GASS113024  200.92323  31.64631
GASS25296  200.98941  12.04259
GASS113038  201.08821  35.91375
GASS51161  201.3449  27.24909
GASS34531  202.41362  29.7701
GASS25448  202.51624  12.17519
GASS25347  202.5798  11.51181
GASS40024  203.4092  13.23601
GASS113094  203.45491  21.2285
GASS40014  203.54234  13.16294
GASS40007  203.92667  13.33091
GASS13512  204.05077  4.74009
GASS113118  204.62381  30.98687
GASS43963  205.4267  30.12543
GASS35659  205.49884  29.78155
GASS44021  205.62947  30.25004
GASS43929  206.01395  30.108124
GASS51190  206.01695  25.6635
GASS13551  206.2746  3.80428
GASS13549  206.35545  3.80663
GASS113005  206.6234  3.87831
GASS7031  206.69661  2.12005
GASS113136  206.755127  33.893597
GASS25475  207.0317  11.40143
GASS38018  207.14246  24.89146
GASS7050  207.29039  2.75321
GASS7058  207.6339  3.19415
GASS7025  207.64085  2.23222
GASS113091  207.7048  17.28209
GASS113133  207.90939  5.55968
GASS13624  207.96838  3.45502
GASS40222  207.9975  13.96751
GASS113010  208.27263  15.84455
GASS35981  208.28484  35.71403
GASS113134  208.29021  4.96095
GASS113063  208.42468  3.3774
GASS113003  208.52609  5.35636
GASS44856  208.54643  24.55626
GASS44846  208.80244  25.02144
GASS40317  208.89052  14.76465
GASS113057  208.93007  5.78137
GASS44892  209.03877  25.19546
GASS13618  209.09172  4.61962
GASS113008  209.2309  14.14225
GASS113105  209.27309  19.54396
GASS44889  209.41537  25.7747
GASS113109  209.46761  7.41351
GASS113144  209.48425  7.43358
GASS113067  209.51959  15.31483
GASS13674  209.56346  3.99829
GASS40260  209.61292  13.48464
GASS113123  209.64404  6.57407
GASS113150  209.66092  7.21652
GASS40257  209.67596  13.45636
GASS113122  209.68922  20.66187
GASS113011  209.77664  17.93471
GASS40245  209.85847  12.78848
GASS40247  209.92757  12.73683
GASS38409  210.01851  12.11151
GASS114141  210.18188  31.89417
GASS114137  210.50053  10.8306
GASS114001  210.58566  32.44817
GASS114098  210.64758  14.53505
GASS114113  210.791046  12.170402
GASS114053  210.80029  11.71989
GASS9301  210.82076  4.36317
GASS114072  210.94344  14.8681
GASS114126  210.95251  15.4023
GASS114104  211.0536  8.51723
GASS9317  211.12605  5.10818
GASS114061  211.15813  11.64575
GASS114039  211.20612  11.39551
GASS114044  211.21948  21.63351
GASS114073  211.25758  11.01188
GASS114047  211.28882  10.42486
GASS114075  211.2933  11.77137
GASS114078  211.42599  12.24193
GASS38458  211.51572  12.50451
GASS25575  211.52802  12.50378
GASS7121  211.67764  1.91451
GASS25572  211.75003  13.00531
GASS41303  211.92107  9.80996
GASS30675  212.11559  5.65775
GASS114055  212.11668  15.92093
GASS114123  212.12149  7.05791
GASS114115  212.13658  3.0243
GASS114122  212.14761  11.95103
GASS9287  212.15392  3.42296
GASS114057  212.24721  14.7582
GASS30746  212.2854  6.18023
GASS38529  212.44507  11.58485
GASS114110  212.74075  6.37172
GASS38538  212.83064  11.51809
GASS114033  213.05299  15.86889
GASS38546  213.12442  11.24055
GASS114031  213.13216  13.30474
GASS114082  213.42461  12.50419
GASS114027  213.61414  15.61176
GASS7286  213.63354  3.19026
GASS114046  213.67052  13.37817
GASS9384  213.791  4.4779
GASS114058  213.80759  15.87774
GASS38462  213.94145  10.43886
GASS41444  213.9459  8.91018
GASS38472  214.03654  10.59552
GASS114095  214.05969  25.54561
GASS9343  214.20158  3.63006
GASS7310  214.23949  2.17766
GASS114054  214.32819  12.58553
GASS45439  214.3446  25.05283
GASS114127  214.39116  25.11447
GASS38591  214.41882  10.58333
GASS41323  214.59361  8.0975
GASS45254  214.6282  29.17009
GASS30854  214.63818  7.28678
GASS30847  214.64722  7.35523
GASS7405  214.65712  2.04595
GASS114091  214.67665  24.92218
GASS30811  214.69038  5.83466
GASS45613  214.81912  26.2986
GASS38583  215.12704  10.43209
GASS9507  215.13684  5.11065
GASS114121  215.20436  25.95881
GASS9483  215.23561  3.87152
GASS114085  215.32782  12.50596
GASS114042  215.47008  24.10739
