#GASS_ID   SDSS_OBJID   RA   DEC   z   SURVEY_ID    RA   DEC   z   GROUP_ID
GASS4017 1237670961617895518 31.32 13.51 0.026 0 0.0 0.0 0.0 0
GASS3880 1237649919509528682 31.33 13.26 0.027 0 0.0 0.0 0.0 0
GASS3972 1237679167161958434 31.41 14.65 0.043 0 0.0 0.0 0.0 0
GASS3971 1237649921120141460 31.47 14.42 0.043 0 0.0 0.0 0.0 0
GASS4014 1237649919509790842 31.83 13.03 0.048 0 0.0 0.0 0.0 0
GASS3977 1237670961081352253 31.94 14.08 0.032 0 0.0 0.0 0.0 0
GASS3977 1237670961081352253 31.94 14.08 0.032 0 0.0 0.0 0.0 0
GASS4008 1237649918973051009 32.12 12.73 0.035 0 0.0 0.0 0.0 0
GASS4030 1237670960544546959 32.41 13.98 0.049 0 0.0 0.0 0.0 0
GASS4038 1237670458034880693 32.84 14.50 0.042 0 0.0 0.0 0.0 0
GASS4039 1237670458034749647 32.88 14.20 0.025 0 0.0 0.0 0.0 0
GASS4041 1237670458034880716 32.90 14.51 0.026 0 0.0 0.0 0.0 0
GASS4040 1237653652922630216 32.91 14.14 0.027 0 0.0 0.0 0.0 0
GASS4048 1237649954409283683 33.08 13.61 0.041 0 0.0 0.0 0.0 0
GASS3987 1237649920047317106 33.41 13.46 0.042 0 0.0 0.0 0.0 0
GASS4056 1237649920584187987 33.46 13.84 0.038 0 0.0 0.0 0.0 0
GASS3981 1237653651849216124 33.52 13.20 0.042 0 0.0 0.0 0.0 0
GASS3985 1237649920047382635 33.55 13.44 0.041 0 0.0 0.0 0.0 0
GASS4057 1237653652922957896 33.58 13.94 0.040 0 0.0 0.0 0.0 0
GASS3980 1237653650775539822 33.60 12.34 0.041 0 0.0 0.0 0.0 0
