#M_vir  M_star  M_HI   M_H2   SFR
1.80e+10 2.70e+07 4.41e+07 5.51e+06 5.97e-03
2.17e+10 2.31e+07 5.60e+07 4.54e+06 4.67e-03
1.77e+10 2.48e+07 4.20e+07 6.09e+06 5.95e-03
1.77e+10 4.06e+07 2.56e+07 6.38e+06 2.24e-03
1.93e+10 5.52e+07 2.45e+07 2.21e+06 1.16e-03
1.51e+10 6.34e+07 1.00e+07 2.33e+06 3.02e-04
1.50e+10 3.93e+07 3.26e+07 4.01e+06 3.13e-03
1.88e+10 2.38e+07 4.15e+07 5.59e+06 5.76e-03
1.74e+10 8.98e+07 0.00e+00 0.00e+00 0.00e+00
1.48e+10 6.96e+07 8.01e+06 1.05e+06 4.73e-04
1.20e+10 8.54e+06 5.24e+07 6.61e+06 7.20e-03
1.05e+10 9.90e+06 4.33e+07 4.13e+06 2.51e-03
1.73e+10 1.84e+07 3.18e+07 9.11e+06 4.45e-03
2.72e+10 1.32e+07 4.29e+07 5.69e+06 4.69e-03
1.70e+10 2.38e+07 4.48e+07 7.37e+05 4.81e-04
1.60e+10 6.59e+07 1.36e+07 1.47e+06 4.92e-04
3.59e+10 2.68e+07 5.61e+07 1.94e+06 1.04e-03
1.10e+10 3.25e+07 2.96e+07 3.14e+06 1.96e-03
2.52e+10 2.20e+07 6.56e+07 3.04e+06 2.18e-03
1.58e+10 1.43e+07 4.28e+07 3.56e+06 3.01e-03
1.82e+10 7.03e+06 5.09e+07 3.94e+06 4.74e-03
2.10e+10 1.37e+07 8.26e+07 7.27e+06 3.66e-03
1.56e+10 1.74e+07 3.51e+07 6.03e+06 5.17e-03
2.24e+10 1.62e+07 4.24e+07 5.87e+06 5.99e-03
2.70e+10 1.67e+07 4.45e+07 2.11e+06 2.12e-03
1.44e+10 2.97e+07 1.90e+07 7.06e+06 2.86e-03
1.31e+10 5.20e+07 9.02e+06 2.07e+06 7.93e-04
1.19e+10 7.35e+06 5.20e+07 4.99e+06 5.25e-03
1.22e+10 7.83e+06 4.43e+07 3.11e+06 3.45e-03
1.49e+10 2.49e+07 2.97e+07 3.81e+06 3.31e-03
1.34e+10 1.28e+07 3.45e+07 4.53e+06 2.30e-03
1.46e+10 2.34e+07 2.85e+07 3.65e+06 2.52e-03
1.94e+10 3.14e+07 2.81e+07 1.75e+06 1.41e-03
1.27e+10 1.30e+07 4.34e+07 5.77e+06 5.85e-03
9.57e+09 2.41e+07 2.15e+07 3.64e+06 1.24e-03
1.46e+10 3.37e+07 2.58e+07 2.01e+06 1.54e-03
2.98e+10 6.54e+07 0.00e+00 0.00e+00 0.00e+00
2.41e+10 8.70e+06 4.30e+07 5.76e+06 3.89e-03
1.42e+10 1.26e+07 3.59e+07 1.26e+06 1.31e-03
5.22e+09 6.49e+07 0.00e+00 0.00e+00 0.00e+00
1.51e+10 2.42e+07 2.23e+07 2.24e+06 1.21e-03
