name        ra       dec 
CGASS109066  137.34864807128906  22.513935089111328
CGASS124010  5.997472286224365  15.770445823669434
CGASS110038  150.56787109375  19.21565818786621
CGASS112065  180.28346252441406  15.398248672485352
CGASS112068  181.0405731201172  1.8259764909744263
CGASS122002  340.2944030761719  13.339900016784668
CGASS110040  156.28721618652344  13.601398468017578
CGASS109072  145.13262939453125  28.969331741333008
CGASS111047  175.72471618652344  0.16186048090457916
CGASS110041  159.9126434326172  25.322738647460938
CGASS109077  147.82650756835938  9.13923168182373
CGASS124012  1.6220773458480835  14.182368278503418
CGASS108093  128.87576293945312  23.67620849609375
CGASS112079  181.3647003173828  1.9481346607208252
CGASS114090  217.19761657714844  13.821198463439941
CGASS108094  130.7349395751953  13.641590118408203
CGASS123006  348.44610595703125  13.687614440917969
CGASS109081  149.17703247070312  15.636482238769531
CGASS113091  207.70480346679688  17.282093048095703
CGASS114096  216.478271484375  25.768014907836914
CGASS108101  126.75582122802734  21.70677947998047
CGASS111054  178.01087951660156  25.75111961364746
CGASS113098  198.39698791503906  29.126529693603516
CGASS108103  125.14373016357422  21.105493545532227
CGASS123008  356.7160949707031  14.480696678161621
CGASS109088  149.7222137451172  15.3799467086792
CGASS111057  177.13519287109375  12.705292701721191
CGASS108106  122.52916717529297  18.638355255126953
CGASS109092  144.510986328125  27.656574249267578
CGASS108111  120.31920623779297  9.26481819152832
CGASS112089  192.6109161376953  26.735334396362305
CGASS110054  161.01025390625  22.25754165649414
CGASS113100  195.14866638183594  27.574241638183594
CGASS123010  349.4016418457031  14.001197814941406
CGASS112090  180.5938262939453  29.861770629882812
CGASS108113  124.60739135742188  29.959556579589844
CGASS108114  124.8511962890625  21.003562927246094
CGASS111063  179.60595703125  25.0976505279541
CGASS109097  144.6435546875  8.887899398803711
CGASS110055  158.85459899902344  3.29443097114563
CGASS122005  335.1972351074219  14.234640121459961
CGASS101021  19.22327423095703  0.15312722325325012
CGASS109100  146.62925720214844  15.886324882507324
CGASS109101  136.02024841308594  22.06157684326172
CGASS109102  140.31439208984375  3.151090145111084
CGASS110059  159.80477905273438  31.114025115966797
CGASS109103  144.16973876953125  2.703550100326538
CGASS111067  172.4091796875  9.96759033203125
CGASS109106  148.46453857421875  13.615106582641602
CGASS114113  210.79104614257812  12.170401573181152
CGASS113110  199.9764862060547  31.234960556030273
CGASS114115  212.13658142089844  3.024296998977661
CGASS109108  146.08094787597656  9.98478889465332
CGASS109109  148.1688690185547  25.089536666870117
CGASS113114  196.65902709960938  28.848466873168945
CGASS111070  177.58407592773438  25.961868286132812
CGASS101025  18.655757904052734  1.1814939975738525
CGASS109112  141.53456115722656  34.89539337158203
CGASS110063  163.80258178710938  5.862559795379639
CGASS114117  216.57240295410156  15.686044692993164
CGASS107026  118.63758087158203  29.710783004760742
CGASS114121  215.20436096191406  25.958810806274414
CGASS113118  204.62380981445312  30.986873626708984
CGASS112106  180.90391540527344  2.6304657459259033
CGASS113122  209.68922424316406  20.661874771118164
CGASS101030  27.015018463134766  12.934618949890137
CGASS113124  200.71282958984375  31.8259334564209
CGASS111079  174.25790405273438  15.570610046386719
CGASS114127  214.3911590576172  25.114465713500977
CGASS108129  123.061767578125  35.15705108642578
CGASS113128  195.07823181152344  27.93705177307129
CGASS111086  174.81137084960938  14.992425918579102
CGASS109122  146.59425354003906  9.165229797363281
CGASS124027  13.11631965637207  14.518287658691406
CGASS111088  178.57403564453125  32.86099624633789
CGASS111090  176.55145263671875  10.595534324645996
CGASS111091  178.74391174316406  26.2025089263916
CGASS111093  171.91311645507812  23.757936477661133
CGASS109126  143.7461395263672  25.8256778717041
CGASS112112  186.41726684570312  20.52846908569336
CGASS108142  124.81607818603516  19.313241958618164
CGASS113136  206.755126953125  33.89359664916992
CGASS113137  196.53480529785156  30.209270477294922
CGASS108144  121.57968139648438  17.594772338867188
CGASS101037  24.40471839904785  0.040174420922994614
CGASS114136  216.87057495117188  29.951950073242188
CGASS114137  210.5005340576172  10.830598831176758
CGASS113141  197.88197326660156  8.743204116821289
CGASS122006  343.2439880371094  1.1425925493240356
CGASS114141  210.181884765625  31.89417266845703
CGASS108147  123.84751892089844  28.735349655151367
CGASS124028  1.509975790977478  14.417464256286621
CGASS108148  130.71951293945312  25.07041358947754
CGASS114144  217.14903259277344  25.708881378173828
CGASS112116  194.02542114257812  27.67810821533203
CGASS110080  154.6554718017578  3.2636070251464844
CGASS113150  209.66091918945312  7.216517448425293
CGASS109139  139.16580200195312  7.266376972198486
